COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
EC,Quito,San Martin de Porras,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.602339181,0.538596491,0.657759784,0.709401709,0.781532357,0.731758242,0.676428571,0.670137363,0.735549451
BR,Bauru,FS Parque Jardim Europa/Vila Riachuelo - BAU,Non Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.85754386,0.926666667,0.88,0.525,0.45,0.425,0.25,0.45,0.475
MX,Mexicali,MXL_Universidad,Wealthy,Prioritized,Retail SST > SS CVR,0.900823003,0.904237414,0.905765621,0.900927962,0.895018836,0.888999091,0.894801735,0.897732276,0.897864127
CL,Santiago De Chile,Colina,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.798946103,0.770919393,0.772060934,0.784608912,0.799961824,0.804491903,0.737507603,0.733915505,0.741457263
MX,Guadalajara,Valle Real,Wealthy,High Priority,Gross Profit UE,3.914477073,3.827933913,3.534115915,3.486583401,3.632155663,3.473549354,3.541963256,3.808373368,3.78053395
MX,Puebla,Angelopolis,Wealthy,High Priority,Gross Profit UE,2.247219063,1.835978023,1.42620442,0.745151362,0.589795497,0.674822173,1.060527956,1.51181153,1.329836515
BR,Juiz De Fora,MG - JDF - Juiz de Fora,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.908167444,0.902481599,0.903091236,0.897105696,0.907410291,0.91435255,0.922707271,0.920142106,0.898541698
CO,Cartagena,Bocagrande,Wealthy,Prioritized,Retail SST > SS CVR,0.931753484,0.932020524,0.930742196,0.931137629,0.931906624,0.944456452,0.958126641,0.969232914,0.975947996
BR,Campinas,SP - VCP - Jardim Itatinga,Non Wealthy,Not Prioritized,Gross Profit UE,-4.187063338,,,-1.903735831,-4.778261457,-4.326963816,-1.525993974,-0.729163772,3.633654601
BR,Recife,PE - REC - Zona Norte,Wealthy,High Priority,Gross Profit UE,1.10137638,1.121610437,1.221256032,1.424887192,1.745238116,2.209120848,2.489832522,2.58339957,1.635154207
MX,Nuevo Laredo,Nlar_centro,Non Wealthy,Prioritized,Gross Profit UE,3.044548429,3.303390692,3.414495085,3.817007631,4.0988888,4.346606614,4.545322434,4.884260802,4.796048289
BR,Grande São Paulo,SP - GRU - Centro,Non Wealthy,Not Prioritized,Gross Profit UE,-3.483348415,-3.545169492,-3.048567439,-3.430452661,-2.882987306,-2.233161844,-1.503528949,-2.0717683,-1.670097075
MX,Monterrey,Mitras Centro,Wealthy,Prioritized,Retail SST > SS CVR,0.894010312,0.896662491,0.90040755,0.907361534,0.899255021,0.900535854,0.914518719,0.925451298,0.925922656
CO,Valledupar,San Jorge,Non Wealthy,Prioritized,Gross Profit UE,0.761809235,0.793826995,0.579252496,0.205117919,1.017769965,1.803065288,1.846276375,1.753843208,1.320085559
AR,Cordoba,General Paz,Non Wealthy,Prioritized,Retail SST > SS CVR,0.872624397,0.874626065,0.882542523,0.891574781,0.899713043,0.898391327,0.897769459,0.892305914,0.883807912
