COUNTRY,CITY,ZONE,METRIC,L8W,L7W,L6W,L5W,L4W,L3W,L2W,L1W,L0W
CO,Bogota,Chapinero,Orders,264650,261767,277005,279886,277954,275344,275633,279048,274376
CO,Bogota,Usaquén,Orders,233674,224436,241602,240411,240786,236591,241475,238649,236876
PE,Lima,Miraflores,Orders,123252,125820,126245,123770,126467,124376,124751,123431,124757
CO,Medellin,Poblado_guayabal,Orders,123163,118244,124015,108165,106785,117266,120384,121428,117824
PE,Lima,San isidro,Orders,109987,114369,114077,113302,115501,113639,113772,112622,114141
CO,Medellin,Laureles_belén,Orders,107288,103814,108727,96041,98857,103624,106250,105879,104650
CO,Bogota,Colina,Orders,97927,94438,99619,99192,98940,98480,100722,99589,98581
AR,Buenos Aires,Microcentro,Orders,92744,93388,96660,96642,96920,96988,96818,95960,97709
MX,Ciudad De Mexico,Del Valle-Narvarte,Orders,85132,90633,91459,91404,88751,89146,93548,88587,89345
MX,Ciudad De Mexico,Roma-Polanco,Orders,77871,82068,83221,84473,83361,82952,83952,83850,85190
AR,Buenos Aires,CABALLITO,Orders,75165,75320,75023,76422,76811,77011,75314,74859,77294
AR,Buenos Aires,Palermo,Orders,70976,73141,73667,75020,75523,74676,75038,75072,75821
CO,Barranquilla,Riomar,Orders,69778,67915,70502,69404,71368,70207,70412,69346,69760
PE,Lima,San Borja,Orders,66519,68166,68093,67680,68819,67992,66970,66319,67535
MX,Guadalajara,La estancia,Orders,58289,60368,60379,61783,60704,60055,63669,59945,61356
AR,Buenos Aires,Belgrano,Orders,54418,55790,55424,56936,56532,56508,56417,56663,57022
CO,Cali,Cali Centro oeste,Orders,51786,51760,53395,51860,52238,51876,53334,52981,54059
MX,Ciudad De Mexico,Coyoacan-Pedregal,Orders,51532,55693,57557,56372,55335,55601,58619,54202,54076
CO,Medellin,Envigado,Orders,51356,47679,52414,46114,43804,48767,50142,50336,49211
CO,Bogota,Engativa,Orders,45886,44055,45680,44471,45837,43288,45772,44881,45118
MX,Guadalajara,Zapopan,Orders,44700,46084,45853,47065,45766,45322,47286,45171,46171
BR,Grande São Paulo,Jardins/Pinheiros,Orders,44640,44302,43035,42173,41763,40959,40308,40481,39252
BR,Grande São Paulo,SP - SP - Itaim Bibi,Orders,44119,44100,43560,41852,42078,40949,40626,39811,39009
CO,Bogota,Salitre,Orders,40557,41749,41424,42208,42203,41766,42682,42619,42001
CO,Barranquilla,Miramar y Alamedas,Orders,40329,40443,40485,40125,41150,40768,39954,39725,40180
PE,Lima,Monterrico,Orders,39263,40551,41709,41621,43245,42728,42828,41919,42076
AR,Buenos Aires,Urquiza - Saavedra,Orders,37053,37588,36888,37593,37878,38172,37189,37572,37586
CO,Bogota,Suba,Orders,36512,35069,36533,35684,36154,35092,36761,35263,36153
MX,Ciudad De Mexico,CDMX_coapa_iztapalapa,Orders,36279,42261,43508,42502,39670,40832,43418,38361,38505
CO,Cali,Ingenio Limonar,Orders,36219,35709,37532,36623,36637,36836,37979,37763,38128
PE,Lima,San Miguel,Orders,36060,37565,37560,37296,37875,37457,38067,36107,37478
CO,Medellin,Caribe_centro,Orders,32524,32953,33382,31196,32034,34037,34475,33873,34286
BR,Grande São Paulo,Barra_funda/Lapa,Orders,32319,32330,32468,31989,31272,31293,30329,29615,28746
CO,Medellin,Sabaneta,Orders,31589,30482,31925,25305,23111,29363,30960,31873,31751
CO,Bogota,Fontibon,Orders,30623,30094,31271,31113,31367,30947,31894,31457,31225
MX,Monterrey,San Pedro,Orders,30270,30314,29433,31736,31216,28808,31595,31612,31908
CL,Santiago De Chile,las_condes_vitacura,Orders,29627,28525,28504,28789,29692,28347,22013,26942,28605
CO,Barranquilla,Centro y nor occidente,Orders,29368,29516,29441,29917,30242,29992,29906,29244,29273
MX,Monterrey,Mitras Centro,Orders,28714,29232,27935,30277,29669,28858,31440,30341,30811
AR,Buenos Aires,DEVOTO,Orders,28192,28633,28204,28776,28606,28437,27164,27496,28384
CL,Santiago De Chile,Ñuñoa Providencia,Orders,27341,27054,26915,27543,28071,27190,22076,25644,27846
MX,Ciudad De Mexico,Satélite-Naucalpan,Orders,27321,30607,30553,30792,29859,30120,31786,29234,29727
CO,Bucaramanga,Centro y Cabecera,Orders,26894,26221,27078,27353,27242,26838,27914,26678,27163
CO,Bogota,Kennedy,Orders,25982,24459,25013,24877,24659,24101,25631,24418,25059
CO,Cali,Cali Norte,Orders,25821,25962,26938,26357,26644,26729,27736,26698,27707
CO,Bogota,Candelaria,Orders,24680,23404,24322,24688,24944,25075,25441,24982,23452
CO,Cali,Pance y ciudad jardin,Orders,24286,23806,24875,24298,23952,24263,24797,25265,24755
CO,Medellin,Itagui_y_la_estrella,Orders,24072,23825,24986,23033,22837,24697,24958,24743,24848
MX,Guadalajara,Valle Real,Orders,22963,23029,23363,23957,23428,23285,25179,23455,23809
MX,Monterrey,Contry,Orders,22599,23087,22872,24181,23910,22754,24811,23757,24620
AR,Buenos Aires,Chacabuco - La Boca,Orders,20888,20780,20582,20237,20519,20791,19850,19751,20451
PE,Lima,La Molina,Orders,20727,20613,20776,19894,20126,19897,20128,19629,19739
PE,Lima,Cono norte,Orders,20174,21237,20574,19828,20722,20554,20814,19406,20710
AR,Buenos Aires,Flores,Orders,19812,19830,19166,19615,20117,21012,20003,20527,21009
PE,Lima,Centro Lima,Orders,19225,20461,20394,20197,20873,20106,20462,19647,20575
MX,Puebla,Angelopolis,Orders,18229,19701,20556,21173,21795,20977,22138,20724,20852
CO,Bucaramanga,Floridablanca,Orders,18091,17177,18315,17787,18094,17660,18459,17953,18400
AR,Buenos Aires,Vicente Lopez - Olivos,Orders,17979,18274,18052,18412,18660,18145,17548,17415,18323
CO,Barranquilla,Prado,Orders,17922,19243,18567,19539,19912,19875,20178,19200,19822
MX,Ciudad De Mexico,Tlalnepantla,Orders,17894,19999,20106,20354,19713,19962,20968,18840,19657
MX,Ciudad De Mexico,CDMX_GAM,Orders,17851,20440,21267,21755,20708,21212,22204,20347,20315
MX,Merida,MID_MX NORTE,Orders,17775,18379,19177,20003,19681,18829,19703,17919,18625
CO,Cali,Lido Plametto,Orders,17675,17789,18239,18096,18271,18257,18777,18382,18691
MX,Ciudad De Mexico,Santafe,Orders,17653,18593,18727,19270,19818,18550,19658,19428,19868
MX,Puebla,Centro_calvario,Orders,17037,18039,18883,19187,19871,19524,20491,19399,19013
CO,Cartagena,Bocagrande,Orders,16895,15811,16687,15369,16207,15385,15310,15436,15497
CO,Bello,Bello,Orders,16873,16590,17290,16290,15531,16625,15159,15955,15900
BR,Grande São Paulo,SP - SP - Morumbi/Vila Andrade,Orders,16721,16675,16828,16217,15707,15964,15359,15237,14712
MX,Guadalajara,Oblatos,Orders,16688,17153,17402,17799,17005,17343,18396,16169,16867
AR,Cordoba,Cordoba Centro,Orders,16348,14970,17074,16845,17989,20163,18182,17758,17079
MX,Ciudad De Mexico,CDMX_Agricola_Benito_Juarez,Orders,15873,18810,20335,19387,18054,18803,19542,16947,17345
CO,Bogota,Antonio Nariño,Orders,15805,14680,15175,14338,14998,14594,15341,14429,14825
MX,Monterrey,Cumbres Poniente,Orders,15731,16009,15809,16477,15897,15435,17175,16163,16324
CO,Cartagena,La Castellana,Orders,15157,14893,15520,15188,14858,14684,14941,14999,15415
MX,Monterrey,San Nicolás,Orders,15027,14938,14669,16237,15757,15202,16548,15973,16394
CL,Santiago De Chile,Santiago_centro,Orders,15024,15758,15392,15860,16076,15504,13370,13566,15549
MX,Ciudad De Mexico,Centro-Histórico,Orders,14922,17134,17419,16987,16617,17416,17846,16692,16307
MX,Queretaro,QRO_CENTRO,Orders,14777,15010,14328,15460,15366,15725,16041,15456,15670
CO,Cartagena,Manga,Orders,14220,14163,14454,14623,14510,14392,14658,14149,14434
MX,Guadalajara,La tijera,Orders,13808,14113,14409,14855,14233,13980,15264,14451,14498
MX,Saltillo,SAL_Centro,Orders,13720,13998,14200,14437,13981,14133,14569,13992,14393
PE,Lima,Santa Anita,Orders,13578,14721,13993,13544,14178,13920,13722,13141,13809
CO,Chia,Chia,Orders,13562,12960,13438,13135,13506,13105,12723,13239,13428
PE,Lima,Comas,Orders,13518,14261,13687,13317,13829,13585,13868,12978,13932
AR,La Plata,Plaza italia,Orders,13419,12613,13893,13888,12901,12896,12878,12074,12789
CO,Cartagena,Marbella - Crespo,Orders,12795,12110,12430,11541,12660,11246,11507,11605,11793
CO,Cucuta,Cúcuta All,Orders,12770,13097,14113,14134,14562,15624,14129,15031,14718
MX,Merida,MID_FRANCISCO DE MONTEJO,Orders,12404,12965,13248,13569,13238,13113,13803,12491,13007
CO,Santa Marta,Centro,Orders,12177,11805,12363,12285,12795,12387,12301,12458,13433
PE,Lima,Chorrillos,Orders,11959,12123,11728,11933,12512,12238,12769,12078,12824
AR,Buenos Aires,San Isidro - Victoria,Orders,11859,11971,11839,11533,11553,12024,11540,11426,11747
CO,Barranquilla,Villa Campestre,Orders,11741,11412,11836,12052,12762,12586,12161,12373,11890
