COMPETITOR,COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Retail SST > SS CVR,0.631676054,0.703215169,0.701222124,0.737795824,0.658226153,0.661011569,0.658701051,0.641065918,0.556642609,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Restaurants SST > SS CVR,0.693133054,0.594973014,0.661326937,0.600213366,0.574999385,0.718897009,0.634325755,0.64899098,0.574377161,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Delivery Fee (MXN),15.23119399,14.59353916,14.50872098,16.05641465,15.40000883,14.47341509,14.08742263,14.94721944,14.57532602,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Service Fee (%),0.170821483,0.187382938,0.146515167,0.175109312,0.131738638,0.144368319,0.174869265,0.185701372,0.174359406,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Avg Delivery Time (mins),19.75167936,18.60326161,23.31725087,20.69356672,19.07649385,20.00866751,19.50874543,22.03870781,22.93409563,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Wealthy,Prioritized,Customer Satisfaction Score,4.67198058,4.499283982,4.552284497,4.616332078,4.680760247,4.535288311,4.564639837,4.472572237,4.463585072,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Retail SST > SS CVR,0.90654286,0.879631158,0.812911595,0.861012902,0.913451266,0.904582862,0.939574802,0.881712152,1.033417902,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Restaurants SST > SS CVR,0.667750969,0.718122863,0.698820142,0.718358548,0.614392063,0.702786915,0.731626138,0.787665211,0.687856998,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Delivery Fee (MXN),10.53341656,10.31870919,11.24702632,11.90376464,11.00269486,11.06009088,12.11744012,10.92113128,10.43628944,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Service Fee (%),0.104467703,0.083163029,0.061734893,0.096927598,0.096226298,0.091107462,0.08631345,0.062697778,0.082592286,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Avg Delivery Time (mins),23.30318,22.06518553,22.82718501,18.35267748,20.51119373,25.20522482,22.36020574,19.0502981,20.25224368,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Customer Satisfaction Score,3.93025094,4.035532579,4.275833769,4.010273461,4.059664292,4.026038381,3.912641754,4.143791839,4.104702861,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Retail SST > SS CVR,0.57872738,0.688019558,0.689079037,0.68843506,0.574786731,0.622663519,0.594147148,0.664976902,0.70414902,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Restaurants SST > SS CVR,0.551973385,0.430760743,0.511722063,0.455178729,0.531973536,0.462322703,0.585790635,0.46913125,0.492190839,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Delivery Fee (MXN),18.73957839,19.65244522,20.14018403,19.62277158,20.46020994,21.63548614,18.77183246,18.8904567,17.65628197,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Service Fee (%),0.138735503,0.125359789,0.120860651,0.119930814,0.121849922,0.101320463,0.119566031,0.120782407,0.100633929,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Avg Delivery Time (mins),20.4508977,17.66752189,22.19992646,22.751443,21.57023381,18.19223715,18.59887283,17.84037557,21.6411864,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Wealthy,Prioritized,Customer Satisfaction Score,4.806217681,4.761584744,4.869058027,4.654839917,4.604005112,4.590427285,4.5977977,4.671668557,4.713493926,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Retail SST > SS CVR,1.006492376,0.972921278,1.082744386,0.950711549,0.875703014,0.944296795,0.897872496,0.994882278,0.948122281,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Restaurants SST > SS CVR,0.581691749,0.5773822,0.624255364,0.612217221,0.584913894,0.546215654,0.512812978,0.566229592,0.631375279,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Delivery Fee (MXN),10.7440222,10.12639183,10.6639879,11.79685043,10.26486668,9.224976069,11.09133647,10.08527382,10.90636012,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Service Fee (%),0.171572379,0.122695021,0.131491908,0.160549114,0.160524127,0.160549362,0.227303038,0.161666219,0.172959721,,,,,,,,,,
