COMPETITOR,COUNTRY,CITY,ZONE,METRIC,L8W,L7W,L6W,L5W,L4W,L3W,L2W,L1W,L0W,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Polanco,Orders,89366.76702,87381.3432,96565.29746,90525.0119,102072.2124,86958.4701,85449.94914,84864.49265,83064.60296,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Roma Norte,Orders,65891.94469,70388.746,78074.76753,68507.53199,81860.64975,76958.26204,66908.05593,73169.30087,69839.28574,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Condesa,Orders,122926.1375,117660.6272,111999.6481,117647.4731,111088.8951,122197.4088,120678.1827,99033.63766,119629.8075,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Orders,134836.7833,115386.5059,105897.7807,101541.9604,102022.808,117456.1291,117774.3247,97254.78185,117349.73,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Orders,130372.7939,124115.0411,124700.4826,137517.4248,126480.2515,112918.0323,128951.1445,137021.3673,159424.2038,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Orders,76883.66959,80635.30953,81893.43689,71772.83158,86990.25766,77089.44141,77353.86783,81122.22095,77731.31548,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Orders,88668.34161,82319.33115,74504.8373,84679.34357,115767.6401,87629.79437,74691.26728,100545.9335,102553.7776,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Orders,104885.3038,81602.09231,100895.3937,101361.3077,85719.57738,104378.774,89076.007,93730.00124,93204.31355,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Orders,74023.04229,100551.6656,103520.5908,95609.95353,79351.1074,100331.8995,84528.47502,75615.31895,77173.93608,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Orders,62753.04033,62226.29339,64904.94208,55430.7176,61609.94712,73869.30363,78670.32763,59682.9985,64391.23414,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Orders,92869.57096,83222.31843,94755.73633,90867.81753,95127.42962,100773.6996,86805.75014,94663.2619,81076.57381,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Orders,62430.90002,71951.0414,64879.65418,78458.25228,73068.9327,70238.45896,76230.60798,59671.69575,64618.89718,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Orders,65575.54026,56944.00361,53944.06754,63699.06487,48538.20204,49912.79523,47417.04272,50181.22978,56523.66941,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Orders,56936.66204,66159.81687,46440.22967,35809.49967,48909.43545,56460.7945,60633.91158,41190.98971,50378.59734,,,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Orders,40583.77739,51056.69147,51155.19126,60038.73488,47328.46633,51089.21634,45435.8074,54499.42498,48544.99825,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Orders,99501.68682,95597.56691,124402.6705,106288.9152,110111.9974,112172.7297,132508.9662,100309.2701,153344.6864,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Orders,114789.6072,103917.8146,112420.9685,124053.4392,123364.9082,112977.1361,115606.0808,128430.3268,143467.6858,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Orders,95652.75191,102580.1913,101156.7469,88133.43528,96910.92387,86478.59197,83340.68776,88900.35286,99956.68516,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Orders,87970.69869,96278.03947,91935.89013,91444.03334,87541.35103,78943.49918,85596.77667,86768.3805,81086.40503,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Orders,89042.98198,84787.86397,80749.08885,81187.80669,84789.20748,80303.16038,83584.60825,72677.79917,87071.63891,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Lomas de Chapultepec,Orders,75754.9776,78275.59367,77652.17202,75056.09595,74052.94905,76413.48421,88035.95082,79002.42532,83057.89932,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Coyoacán,Orders,82132.35692,81554.07474,67115.38105,76995.60984,78585.51249,86786.59277,66330.97631,53224.49941,77575.67072,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Narvarte,Orders,65978.53614,78609.89071,77678.26282,74302.65812,70730.11968,77114.88864,58863.08812,65709.77462,59283.78511,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Mixcoac,Orders,71049.93473,60918.89868,64297.45225,57246.92976,68306.83405,60466.95125,59454.73601,56634.49539,58492.72891,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Tlalpan,Orders,62368.65422,75136.15281,65018.95788,61009.07114,70231.87992,61608.76336,70663.64523,59181.75441,61697.4625,,,,,,,,,,,,
DiDi Food,MX,Mexico City,Doctores,Orders,85451.16005,81632.96286,76253.3026,62320.25568,82744.38561,97458.75101,94805.86288,96735.0444,100751.8501,,,,,,,,,,,,
